"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,22,"BLR","Belarus",1,"Brest",1,"Baranavichy","Raion","District",NA,"Baranovichi"
2,22,"BLR","Belarus",1,"Brest",2,"Biaroza","Raion","District",NA,"Bereza"
3,22,"BLR","Belarus",1,"Brest",3,"Brest","Raion","District",NA,NA
4,22,"BLR","Belarus",1,"Brest",4,"Drahichyn","Raion","District",NA,"Drogichin"
5,22,"BLR","Belarus",1,"Brest",5,"Hancavichy","Raion","District",NA,"Gancevichi"
6,22,"BLR","Belarus",1,"Brest",6,"Ivanaw","Raion","District",NA,"Ivanovo"
7,22,"BLR","Belarus",1,"Brest",7,"Ivatsevichy","Raion","District",NA,"Ivatsevichi"
8,22,"BLR","Belarus",1,"Brest",8,"Kamyanyets","Raion","District",NA,"Kamenets"
9,22,"BLR","Belarus",1,"Brest",9,"Kobryn'","Raion","District",NA,"Kobrin"
10,22,"BLR","Belarus",1,"Brest",10,"Luninets","Raion","District",NA,NA
11,22,"BLR","Belarus",1,"Brest",11,"Lyakhavichy","Raion","District",NA,"Lyahovichi"
12,22,"BLR","Belarus",1,"Brest",12,"Malaryta","Raion","District",NA,"Malorita"
13,22,"BLR","Belarus",1,"Brest",13,"Pinsk","Raion","District",NA,NA
14,22,"BLR","Belarus",1,"Brest",14,"Pruzhany","Raion","District",NA,"Pruzhanu"
15,22,"BLR","Belarus",1,"Brest",15,"Stolin","Raion","District",NA,NA
16,22,"BLR","Belarus",1,"Brest",16,"Zhabinka","Raion","District",NA,NA
17,22,"BLR","Belarus",2,"Homyel'",17,"Aktsyabar","Raion","District",NA,"Oktyabrski"
18,22,"BLR","Belarus",2,"Homyel'",18,"Brahin","Raion","District",NA,NA
19,22,"BLR","Belarus",2,"Homyel'",19,"Buda-Kashalyowa","Raion","District",NA,"Buda-Koshelevo"
20,22,"BLR","Belarus",2,"Homyel'",20,"Chachersk","Raion","District",NA,"Chechersk"
21,22,"BLR","Belarus",2,"Homyel'",21,"Dobrush","Raion","District",NA,NA
22,22,"BLR","Belarus",2,"Homyel'",22,"Homyel'","Raion","District",NA,"Homyel"
23,22,"BLR","Belarus",2,"Homyel'",23,"Kalinkavichy","Raion","District",NA,"Kalinkovichi"
24,22,"BLR","Belarus",2,"Homyel'",24,"Karma","Raion","District",NA,"Korma"
25,22,"BLR","Belarus",2,"Homyel'",25,"Khoyniki","Raion","District",NA,"Khoiniki"
26,22,"BLR","Belarus",2,"Homyel'",26,"Loyew","Raion","District",NA,"Loev"
27,22,"BLR","Belarus",2,"Homyel'",27,"Lyel'chytsy","Raion","District",NA,"Lelchitsu"
28,22,"BLR","Belarus",2,"Homyel'",28,"Mazyr","Raion","District",NA,"Mozyr"
29,22,"BLR","Belarus",2,"Homyel'",29,"Narowlya","Raion","District",NA,"Narovlya"
30,22,"BLR","Belarus",2,"Homyel'",30,"Pyetrykaw","Raion","District",NA,"Petrikov"
31,22,"BLR","Belarus",2,"Homyel'",31,"Rahachow","Raion","District",NA,"Rogachev"
32,22,"BLR","Belarus",2,"Homyel'",32,"Rechytsa","Raion","District",NA,"Rechitsa"
33,22,"BLR","Belarus",2,"Homyel'",33,"S'vyetlahorsk","Raion","District",NA,"Svetlogorsk"
34,22,"BLR","Belarus",2,"Homyel'",34,"Vyetka","Raion","District",NA,"Vetka"
35,22,"BLR","Belarus",2,"Homyel'",35,"Yel'sk","Raion","District",NA,"Elsk"
36,22,"BLR","Belarus",2,"Homyel'",36,"Zhlobin","Raion","District",NA,NA
37,22,"BLR","Belarus",2,"Homyel'",37,"Zhytkavichy","Raion","District",NA,"Zhitkovichi"
38,22,"BLR","Belarus",3,"Hrodna",38,"Ashmyany","Raion","District",NA,"Oshmyanu"
39,22,"BLR","Belarus",3,"Hrodna",39,"Astravyets","Raion","District",NA,"Ostrovets"
40,22,"BLR","Belarus",3,"Hrodna",40,"Byerastavitsa","Raion","District",NA,"Berestovitsa"
41,22,"BLR","Belarus",3,"Hrodna",41,"Dzyatlava","Raion","District",NA,"Dyatlovo"
42,22,"BLR","Belarus",3,"Hrodna",42,"Hrodna","Raion","District",NA,NA
43,22,"BLR","Belarus",3,"Hrodna",43,"Iwye","Raion","District",NA,"Ivye"
44,22,"BLR","Belarus",3,"Hrodna",44,"Karelichy","Raion","District",NA,"Korelichi"
45,22,"BLR","Belarus",3,"Hrodna",45,"Lida","Raion","District",NA,NA
46,22,"BLR","Belarus",3,"Hrodna",46,"Masty","Raion","District",NA,"Mostu"
47,22,"BLR","Belarus",3,"Hrodna",47,"Navahradak","Raion","District",NA,"Novogrudok"
48,22,"BLR","Belarus",3,"Hrodna",48,"S'vislach","Raion","District",NA,"Svisloch"
49,22,"BLR","Belarus",3,"Hrodna",49,"Shchuchyn","Raion","District",NA,"Shchuchin"
50,22,"BLR","Belarus",3,"Hrodna",50,"Slonim","Raion","District",NA,NA
51,22,"BLR","Belarus",3,"Hrodna",51,"Smarhon'","Raion","District",NA,"Smorgon"
52,22,"BLR","Belarus",3,"Hrodna",52,"Vawkavysk","Raion","District",NA,"Volkovysk"
53,22,"BLR","Belarus",3,"Hrodna",53,"Voranava","Raion","District",NA,"Voronovo"
54,22,"BLR","Belarus",3,"Hrodna",54,"Zel'va","Raion","District",NA,"Zelva"
55,22,"BLR","Belarus",4,"Mahilyow",55,"Asipovichy","Raion","District",NA,"Osipovichi"
56,22,"BLR","Belarus",4,"Mahilyow",56,"Babruysk","Raion","District",NA,"Bobruysk"
57,22,"BLR","Belarus",4,"Mahilyow",57,"Bialynichy","Raion","District",NA,"Belynichi"
58,22,"BLR","Belarus",4,"Mahilyow",58,"Bykhaw","Raion","District",NA,"Byhov"
59,22,"BLR","Belarus",4,"Mahilyow",59,"Chavusy","Raion","District",NA,"Chausu"
60,22,"BLR","Belarus",4,"Mahilyow",60,"Cherykaw","Raion","District",NA,"Cherikov"
61,22,"BLR","Belarus",4,"Mahilyow",61,"Drybin","Raion","District",NA,"Dribin"
62,22,"BLR","Belarus",4,"Mahilyow",62,"Hlusk","Raion","District",NA,"Glusk"
63,22,"BLR","Belarus",4,"Mahilyow",63,"Horki","Raion","District",NA,"Gorki"
64,22,"BLR","Belarus",4,"Mahilyow",64,"Kas'tsyukovichy","Raion","District",NA,"Kostyukovichi"
65,22,"BLR","Belarus",4,"Mahilyow",65,"Khotsimsk
","Raion","District",NA,"Hotimsk"
66,22,"BLR","Belarus",4,"Mahilyow",66,"Kirawsk","Raion","District",NA,"Kirovsk"
67,22,"BLR","Belarus",4,"Mahilyow",67,"Klichaw","Raion","District",NA,"Klichev"
68,22,"BLR","Belarus",4,"Mahilyow",68,"Klimavichy","Raion","District",NA,"Klimovichi"
69,22,"BLR","Belarus",4,"Mahilyow",69,"Krasnapolle","Raion","District",NA,"Krasnopolye"
70,22,"BLR","Belarus",4,"Mahilyow",70,"Kruhlaye","Raion","District",NA,"Krugloye"
71,22,"BLR","Belarus",4,"Mahilyow",71,"Krychaw","Raion","District",NA,"Krichev"
72,22,"BLR","Belarus",4,"Mahilyow",72,"Mahilyow","Raion","District",NA,NA
73,22,"BLR","Belarus",4,"Mahilyow",73,"Ms'tsislaw","Raion","District",NA,"Mstislavl"
74,22,"BLR","Belarus",4,"Mahilyow",74,"Shklow","Raion","District",NA,"Shklov"
75,22,"BLR","Belarus",4,"Mahilyow",75,"Slawharad","Raion","District",NA,"Slavgorod"
76,22,"BLR","Belarus",5,"Minsk",76,"Barysaw","Raion","District",NA,"Borisov"
77,22,"BLR","Belarus",5,"Minsk",77,"Byarezan'","Raion","District",NA,"Berezino"
78,22,"BLR","Belarus",5,"Minsk",78,"Chervyen'","Raion","District",NA,"Cherven"
79,22,"BLR","Belarus",5,"Minsk",79,"Dzyarzhynsk","Raion","District",NA,"Dzerzhinsk"
80,22,"BLR","Belarus",5,"Minsk",80,"Kapyl'","Raion","District",NA,"Kopyl"
81,22,"BLR","Belarus",5,"Minsk",81,"Klyetsak","Raion","District",NA,"Kletsk"
82,22,"BLR","Belarus",5,"Minsk",82,"Krupki","Raion","District",NA,NA
83,22,"BLR","Belarus",5,"Minsk",83,"Lahoysk","Raion","District",NA,"Logoysk"
84,22,"BLR","Belarus",5,"Minsk",84,"Lyuban'","Raion","District",NA,"Lyuban"
85,22,"BLR","Belarus",5,"Minsk",85,"Maladechna","Raion","District",NA,"Molodechno"
86,22,"BLR","Belarus",5,"Minsk",86,"Minsk","Raion","District",NA,NA
87,22,"BLR","Belarus",5,"Minsk",87,"Myadzyel","Raion","District",NA,"Myadel"
88,22,"BLR","Belarus",5,"Minsk",88,"Nyas'vizh","Raion","District",NA,"Nesvizh"
89,22,"BLR","Belarus",5,"Minsk",89,"Pukhavichy","Raion","District",NA,"Puhovichi"
90,22,"BLR","Belarus",5,"Minsk",90,"Salihorsk","Raion","District",NA,"Soligorsk"
91,22,"BLR","Belarus",5,"Minsk",91,"Slutsak","Raion","District",NA,"Slutsk"
92,22,"BLR","Belarus",5,"Minsk",92,"Smalyavichy","Raion","District",NA,"Smolevichi"
93,22,"BLR","Belarus",5,"Minsk",93,"Staryya Darohi","Raion","District",NA,"Starye Dorogi"
94,22,"BLR","Belarus",5,"Minsk",94,"Stowptsy","Raion","District",NA,"Stolbtsu"
95,22,"BLR","Belarus",5,"Minsk",95,"Uzda","Raion","District",NA,NA
96,22,"BLR","Belarus",5,"Minsk",96,"Valozhyn","Raion","District",NA,"Volozhin"
97,22,"BLR","Belarus",5,"Minsk",97,"Vyalyeyka","Raion","District",NA,"Vileyka"
98,22,"BLR","Belarus",6,"Vitsyebsk",98,"Arsha","Raion","District",NA,"Orsha"
99,22,"BLR","Belarus",6,"Vitsyebsk",99,"Braslaw","Raion","District",NA,"Braslav"
100,22,"BLR","Belarus",6,"Vitsyebsk",100,"Byeshankovichy","Raion","District",NA,"Beshenkovichi"
101,22,"BLR","Belarus",6,"Vitsyebsk",101,"Chashniki","Raion","District",NA,NA
102,22,"BLR","Belarus",6,"Vitsyebsk",102,"Dokshytsy","Raion","District",NA,"Dokshitsy"
103,22,"BLR","Belarus",6,"Vitsyebsk",103,"Dubrowna","Raion","District",NA,"Dubrovno"
104,22,"BLR","Belarus",6,"Vitsyebsk",104,"Haradok","Raion","District",NA,"Gorodok"
105,22,"BLR","Belarus",6,"Vitsyebsk",105,"Hlybokaye","Raion","District",NA,"Glubokoye"
106,22,"BLR","Belarus",6,"Vitsyebsk",106,"Lyepyel","Raion","District",NA,"Lepel"
107,22,"BLR","Belarus",6,"Vitsyebsk",107,"Lyozna","Raion","District",NA,"Liozno"
108,22,"BLR","Belarus",6,"Vitsyebsk",108,"Myory","Raion","District",NA,"Mioru"
109,22,"BLR","Belarus",6,"Vitsyebsk",109,"Pastavy","Raion","District",NA,"Postavu"
110,22,"BLR","Belarus",6,"Vitsyebsk",110,"Polatsak","Raion","District",NA,"Polotsk"
111,22,"BLR","Belarus",6,"Vitsyebsk",111,"Rasony","Raion","District",NA,"Rossonu"
112,22,"BLR","Belarus",6,"Vitsyebsk",112,"Sharkawshchyna","Raion","District",NA,"Sharkovshchina"
113,22,"BLR","Belarus",6,"Vitsyebsk",113,"Shumilina","Raion","District",NA,"Shumilino"
114,22,"BLR","Belarus",6,"Vitsyebsk",114,"Syanno","Raion","District",NA,"Senno"
115,22,"BLR","Belarus",6,"Vitsyebsk",115,"Talachyn","Raion","District",NA,"Tolochin"
116,22,"BLR","Belarus",6,"Vitsyebsk",116,"Ushat","Raion","District",NA,"Ushachi"
117,22,"BLR","Belarus",6,"Vitsyebsk",117,"Vitsyebsk","Raion","District",NA,NA
118,22,"BLR","Belarus",6,"Vitsyebsk",118,"Vyerkhnyazdvinsk","Raion","District",NA,"Verhnedvinsk"
